Keyword	Position	Review text	Reviewed at	Owner's answer	Profile name	Profile URL	Profile image URL	Rating	Reviews count	Photos count	Is local guide?
Masjid Salman ITB	1	"My favorite mosque in Bandung ♥
It's a very peaceful place filled with some of the most peaceful people too 😇
This mosque is so much more than just a worshipping place, it's an entire complex. The complex has a canteen, a cafe, a bank, a store, charity services, a library, an outdoor soccer field, a wide open grass field, and many more. In the lobby, there used to be a free tea and coffee station (before pandemic times). There is also a power bank rental service, free charging stations, and a few benches to sit and rest.
The toilets and the wudhu area is quite spacious and very clean.
The main praying area is very open and has a beautiful wood interior.
Overall, i think visiting this mosque is not just a destination, it's a whole experience...a blessing experience... 😊
Note: there are so many cute and lovable cats here so prepare to bring some food and many pets for them 😸"	2021-10-10 02:06:40 +00:00		Adhitya Ahmad	https://www.google.com/maps/contrib/103856619450009308458?hl=en-ID&sa=X&ved=2ahUKEwjUiNPp2oz0AhUPOSsKHfkyBmsQvvQBegQIARA0	https://lh3.googleusercontent.com/a-/AOh14GhNMvfk6EWXvTSjB1ViNgPvnbYOa1N7cHrLzXavfQ=s40-c-c0x00000000-cc-rp-mo-ba4-br100	5	36	62	Yes
Masjid Salman ITB	2	Always love the vibrancy of peace and calm there. Learn deeper about Islam and humanity in one package there is easier because we can get all we need at Salman mosque with its integrated system. We can pray peacefully, we can get a lot of foods within the mosque area, we can get free water and tea, we can read books on library, we can participate on islamic event, we can join the charity and funding programs, and we can join organization or volunteering as well.	2021-10-20 02:06:40 +00:00		Noor Azizah Rahmafani	https://www.google.com/maps/contrib/114036546508035195291?hl=en-ID&sa=X&ved=2ahUKEwjUiNPp2oz0AhUPOSsKHfkyBmsQvvQBegQIARBE	https://lh3.googleusercontent.com/a-/AOh14Gi_R9WW28CROpyPkS8H6ZxzalJroceZdjg2V-wUmu0=s40-c-c0x00000000-cc-rp-mo-br100	5	4	5	No
Masjid Salman ITB	3	Best mosque in the entire nation, in my opinion. The khotbah during Ramadhan was always science oriented so it's nice to have logical approach to religion. The place also provide pillow and small mattress for musafir	2021-11-07 02:06:40 +00:00		Nyimas Nabilah Oktaviani	https://www.google.com/maps/contrib/108324349489306431134?hl=en-ID&sa=X&ved=2ahUKEwjUiNPp2oz0AhUPOSsKHfkyBmsQvvQBegQIARBU	https://lh3.googleusercontent.com/a-/AOh14GgFjuNm_cFM9S-aBi0clvoIK7BBYjZ9fVljcuT9m38=s40-c-c0x00000000-cc-rp-mo-ba3-br100	5	55	0	Yes
Masjid Salman ITB	4	A good place to worship. Surrounding by tress. Arround the Masjid Salman you may find many Local food as well	2021-06-10 02:06:40 +00:00		Zikril Hakim	https://www.google.com/maps/contrib/111119171428815332819?hl=en-ID&sa=X&ved=2ahUKEwjUiNPp2oz0AhUPOSsKHfkyBmsQvvQBegQIARBg	https://lh3.googleusercontent.com/a-/AOh14GjCjj9EKiuGArcaUFRNONKpNrv3iKqQkmCKfU44Ww=s40-c-c0x00000000-cc-rp-mo-ba4-br100	4	115	155	Yes
Masjid Salman ITB	5	a good place. there's a lot of street food vendor and the area is well shielded from the heat of the sun and winds. if you wanted to casually eat, doing some works, or strolling, this place has it all.	2021-10-10 02:06:40 +00:00		aramzy	https://www.google.com/maps/contrib/113287528517682785947?hl=en-ID&sa=X&ved=2ahUKEwjUiNPp2oz0AhUPOSsKHfkyBmsQvvQBegQIARBv	https://lh3.googleusercontent.com/a-/AOh14GiOEmcc6gD5QnrK1ZLUvyzzMeWXNA5R_p2bc1n9-Q=s40-c-c0x00000000-cc-rp-mo-br100	5	13	0	No
Masjid Salman ITB	6	"If you talk about Ganesha or ITB, then Salman is one must to visit place. It is Mosque, mainly for Islamic praying and activies but Salman Mosque is more than that
It has space where you can just take a quick rest, rejenuvate your stamina and take moment of relax with its calm vibe and softly breeze.
Within the complex, Salman has cafetaria, bank, mini market, and many other facilities you might need.
In afternoon, you could see, many people just lazing around in its wooden or concrete terrace
ps: you need to try Salman special signature, Hot Tea and Hot Coffee"	2020-11-10 02:06:40 +00:00		Fikri Hardian	https://www.google.com/maps/contrib/106717338509016084143?hl=en-ID&sa=X&ved=2ahUKEwjUiNPp2oz0AhUPOSsKHfkyBmsQvvQBegQIARB6	https://lh3.googleusercontent.com/a-/AOh14GjpjVq5d0GlSWzHo0Q7XvG0pp2wbTdGHnyLDKNY=s40-c-c0x00000000-cc-rp-mo-ba4-br100	5	157	320	Yes
Masjid Salman ITB	7	Recommended.	2021-09-10 02:06:40 +00:00		Ghazi Zulhazmi	https://www.google.com/maps/contrib/106531435215633380348?hl=en-ID&sa=X&ved=2ahUKEwjUiNPp2oz0AhUPOSsKHfkyBmsQvvQBegUIARCQAQ	https://lh3.googleusercontent.com/a-/AOh14Gi5W9ERqhI3a7ZU0Xw2t5nKeCT1rogDGAjZubj0=s40-c-c0x00000000-cc-rp-mo-ba4-br100	5	124	185	Yes
Masjid Salman ITB	8	It's an historical mosque, the one that Ir. Soekarno design himself. Place to worship for moslem, but a nice place for meeting and eat too.	2021-10-10 02:06:40 +00:00		dian arya	https://www.google.com/maps/contrib/102713521912649396590?hl=en-ID&sa=X&ved=2ahUKEwjUiNPp2oz0AhUPOSsKHfkyBmsQvvQBegUIARCbAQ	https://lh3.googleusercontent.com/a-/AOh14GgIQTJ8ealkWyAMIQRBg_e_lLfQ7Vrrq49MJsST=s40-c-c0x00000000-cc-rp-mo-ba2-br100	5	27	7	Yes
Masjid Salman ITB	9	It was beautiful place and clean. I will comeback again if I'm visit bandung again	2021-10-10 02:06:40 +00:00		Moch Yusuf	https://www.google.com/maps/contrib/113916839566433523169?hl=en-ID&sa=X&ved=2ahUKEwjUiNPp2oz0AhUPOSsKHfkyBmsQvvQBegUIARCmAQ	https://lh3.googleusercontent.com/a-/AOh14GiSmN0jPD7NanqqlijjCH3g2DkiEoJcZ02HdnKiXQ=s40-c-c0x00000000-cc-rp-mo-br100	5	3	0	No
Masjid Salman ITB	10	A nice big and magnificent clean mosque ..	2021-11-03 02:06:40 +00:00		Teguh Novianto	https://www.google.com/maps/contrib/113770110835148395691?hl=en-ID&sa=X&ved=2ahUKEwjUiNPp2oz0AhUPOSsKHfkyBmsQvvQBegUIARCxAQ	https://lh3.googleusercontent.com/a-/AOh14GjvrUjnDcchNoogAeC4_4kIBbFsRQ2Fb67G6qD-ir0=s40-c-c0x00000000-cc-rp-mo-ba5-br100	5	187	569	Yes
